,experiment,node_id,label,label_2,loss,count,std,mean,var,hop,min,max,outliers,window
0,rnd__2019-05-01_13:41_,aaaa::212:7406:6:606,Normal,Normal,70.0,60,2714.253420881764,2503.8333333333335,7367171.632768359,2,321,10130,5,200
1,rnd__2019-05-01_13:41_,aaaa::212:7403:3:303,Normal,Normal,83.5,33,1468.4013415956824,1083.0,2156202.5,1,119,5930,2,200
2,rnd__2019-05-01_13:41_,aaaa::212:7407:7:707,Normal,Normal,90.5,19,3312.3981718873724,4092.2631578947367,10971981.649122806,3,728,12960,1,200
3,rnd__2019-05-01_13:41_,aaaa::212:7409:9:909,Normal,Normal,90.5,19,2462.33132292542,2734.8947368421054,6063075.543859649,3,636,11190,1,200
4,rnd__2019-05-01_13:41_,aaaa::212:7408:8:808,Normal,Normal,87.5,25,3013.7210261292157,2620.56,9082514.423333334,4,667,14670,1,200
5,rnd__2019-05-01_13:41_,aaaa::212:7405:5:505,Normal,Normal,81.5,37,1439.2082235767036,2320.5405405405404,2071320.3108108107,3,467,6286,1,200
6,rnd__2019-05-01_13:41_,aaaa::212:7402:2:202,Normal,Normal,88.0,24,4003.454323447132,3546.5416666666665,16027646.519927535,2,289,17980,1,200
7,rnd__2019-05-01_13:41_,aaaa::212:7404:4:404,Normal,Normal,78.5,43,2932.57658547545,2929.6279069767443,8600005.429678848,2,300,13805,3,200
8,rnd__2019-05-01_13:41_,aaaa::212:740a:a:a0a,Normal,Normal,87.0,26,2583.044220712036,3281.6153846153848,6672117.446153848,4,999,9732,3,200
9,normal__2019-05-01_13:43_,aaaa::212:7403:3:303,Normal,Normal,62.0,76,1255.0572824698886,1309.9342105263158,1575168.7822807017,1,148,5629,4,200
10,normal__2019-05-01_13:43_,aaaa::212:7407:7:707,Normal,Normal,77.5,45,2974.5769795167025,3961.5555555555557,8848108.207070708,3,764,11771,1,200
11,normal__2019-05-01_13:43_,aaaa::212:7408:8:808,Normal,Normal,69.5,61,2913.099913120924,4094.2131147540986,8486151.103825137,4,886,13769,4,200
12,normal__2019-05-01_13:43_,aaaa::212:7405:5:505,Normal,Normal,76.5,47,1930.6886974441227,2883.744680851064,3727558.846438483,3,674,8924,2,200
13,normal__2019-05-01_13:43_,aaaa::212:7409:9:909,Normal,Normal,90.0,20,1352.444142245711,1942.0,1829105.1578947369,3,601,5693,1,200
14,normal__2019-05-01_13:43_,aaaa::212:7404:4:404,Normal,Normal,84.0,32,1273.3479477219657,1480.1875,1621414.9959677418,2,284,6708,1,200
15,normal__2019-05-01_13:43_,aaaa::212:7402:2:202,Normal,Normal,78.0,44,1974.2556339389118,2452.25,3897685.3081395347,4,557,7717,4,200
16,normal__2019-05-01_13:43_,aaaa::212:7406:6:606,Normal,Normal,79.0,42,1862.948908088019,1663.0,3470578.6341463416,2,361,11150,2,200
17,normal__2019-05-01_13:43_,aaaa::212:740a:a:a0a,Normal,Normal,82.0,36,2884.335551115468,3486.8333333333335,8319391.571428572,4,851,12233,2,200
18,rnd__2019-05-01_01:07_,aaaa::212:7408:8:808,Normal,Normal,75.5,49,1673.3583611802862,2083.591836734694,2800128.204931973,2,445,7519,3,200
19,rnd__2019-05-01_01:07_,aaaa::212:7405:5:505,Normal,Normal,82.5,35,1354.5849046351973,2322.0285714285715,1834900.2638655468,2,600,7148,1,200
20,rnd__2019-05-01_01:07_,aaaa::212:740a:a:a0a,Normal,Normal,90.0,20,1179.3266812264665,1808.5,1390811.4210526317,2,460,5075,1,200
21,rnd__2019-05-01_01:07_,aaaa::212:7404:4:404,Normal,Normal,63.5,73,1290.7650214361893,1324.2739726027398,1666074.340563166,2,401,9943,1,200
22,rnd__2019-05-01_01:07_,aaaa::212:7402:2:202,Normal,Normal,87.5,25,1035.3304915178855,2229.32,1071909.2266666666,2,652,4950,1,200
23,rnd__2019-05-01_01:07_,aaaa::212:7407:7:707,Normal,Normal,35.5,129,770.3399110843836,820.9147286821706,593423.5786094961,1,140,4390,6,200
24,rnd__2019-05-01_01:07_,aaaa::212:7403:3:303,Normal,Normal,95.0,10,2658.6995568009056,3680.0,7068683.333333333,3,1640,9086,1,200
25,rnd__2019-05-01_01:07_,aaaa::212:7409:9:909,Normal,Normal,81.5,37,1102.4424201697746,1361.3513513513512,1215379.2897897898,1,280,4653,3,200
26,rnd__2019-05-01_01:07_,aaaa::212:7406:6:606,Normal,Normal,82.5,35,1612.5431425405714,2164.714285714286,2600295.386554621,2,499,7977,1,200
